n_layer1;n_layer2;n_layer3;dropout_1;dropout_2;dropout_3;act;optim;n_batch;best_val_acc
1024;256;512;0.008909307568613745;0.42251493823699554;0.30543815464061785;leakyrelu;sgd;128;0.42809998989105225
256;512;1024;0.21702063071082567;0.34875377644265604;0.25764043248072455;relu;rmsprop;256;0.28690001368522644
256;1024;1024;0.35571237603931743;0.2811907528782607;0.19749681333133445;leakyrelu;adam;128;0.4194999933242798
512;512;512;0.4987765704119526;0.4956006935248156;0.38230833827442506;swish;adam;256;0.451200008392334
512;1024;1024;0.39685786811007157;0.4182140362909876;0.47663695683601787;swish;rmsprop;256;0.3698999881744385
1024;1024;1024;0.10261962796174634;0.2133592523277144;0.47621445387839695;leakyrelu;sgd;64;0.4000999927520752
1024;1024;256;0.3845025987312817;0.4776618748329053;0.35951860246769524;swish;rmsprop;64;0.3865000009536743
1024;512;512;0.10549830270553806;0.14663551098307936;0.36511529352949673;leakyrelu;sgd;256;0.4352000057697296
512;1024;1024;0.3237079338781867;0.4079879962997267;0.3935331875907188;swish;rmsprop;256;0.3968999981880188
256;512;256;0.08512988272634009;0.38289668175817587;0.37231452533627063;leakyrelu;adam;256;0.4343000054359436
256;1024;1024;0.3440719950944908;0.12987198132770106;0.2988413020555237;leakyrelu;adam;128;0.40540000796318054
1024;256;256;0.38772107685330065;0.10886366508465367;0.15949721726303717;swish;adam;128;0.460999995470047
256;1024;1024;0.1427536323932737;0.2685614728598054;0.37116075611518823;leakyrelu;adam;128;0.4325000047683716
512;256;512;0.0695227040297906;0.3802005950535183;0.321564022474104;leakyrelu;rmsprop;256;0.3635999858379364
512;512;256;0.39572993542756807;0.24774418507814583;0.2335888161661162;leakyrelu;adam;128;0.42899999022483826
512;256;512;0.07444360343627376;0.07162917162162163;0.1262714506018493;swish;adam;64;0.4823000133037567
512;512;512;0.37974831678729387;0.2403674476197581;0.2077411591002677;relu;adam;64;0.28459998965263367
1024;512;256;0.22414604610911326;0.40101033232032784;0.20240408382722602;swish;rmsprop;128;0.4487999975681305
512;1024;256;0.4440995372232807;0.19378913952416787;0.18058579914657197;swish;rmsprop;256;0.3634999990463257
256;256;1024;0.4793083914304218;0.4113277286717177;0.008747168043419018;leakyrelu;adam;128;0.42660000920295715
1024;256;256;0.29818576362256294;0.027428539564151935;0.09988347562357791;swish;adam;64;0.4749999940395355
1024;256;512;0.2795605465417399;0.012428967606855822;0.10628855349563791;swish;adam;64;0.48240000009536743
512;256;512;0.17681785356096003;0.010464147852943709;0.036614027499137225;relu;adam;64;0.36629998683929443
1024;256;512;0.2568397856841742;0.06441887886521691;0.10807343590478725;swish;sgd;64;0.3790999948978424
1024;256;512;0.2809592567709636;0.06870426719716338;0.07106980593641925;swish;adam;64;0.46950000524520874
512;256;512;0.18627566703814286;0.05394945272082607;0.1310228424120559;swish;adam;64;0.4699999988079071
1024;256;512;0.028073437261085993;0.004680693563967516;0.05711132053606663;relu;adam;64;0.4332999885082245
512;256;512;0.1328968231912633;0.10243477517634067;0.14387692380451214;swish;sgd;64;0.42239999771118164
1024;256;512;0.01279433060353763;0.1677163639894852;0.010154453867489366;swish;adam;64;0.48840001225471497
1024;256;512;0.024128996511624524;0.331218187633204;0.008862470943688402;swish;sgd;64;0.4180000126361847
1024;256;512;0.0004655550425354104;0.1607935092809453;0.03941117696540747;relu;adam;64;0.41769999265670776
1024;256;512;0.23361844740020232;0.3254991679766601;0.07949691299231654;swish;adam;64;0.45010000467300415
1024;256;512;0.18543911947766467;0.2922561274367771;0.003223119469605129;swish;adam;64;0.4779999852180481
1024;256;512;0.4400961883896076;0.1828248331260907;0.2613119899084756;relu;adam;64;0.2921999990940094
1024;256;512;0.27861675020483434;0.2170762123002116;0.03846890366756181;swish;sgd;64;0.3797999918460846
1024;256;512;0.3157972699862448;0.030199658761039586;0.0931761409900351;swish;adam;64;0.476500004529953
256;256;512;0.2645973183414081;0.29978339814954236;0.16953828741665075;swish;rmsprop;64;0.34700000286102295
1024;512;1024;0.14411587565326073;0.4731207035614941;0.414798206333748;swish;sgd;64;0.33660000562667847
1024;1024;512;0.326203336640562;0.09782775060649884;0.24698406626130598;relu;adam;256;0.31679999828338623
1024;256;512;0.4335317639677443;0.14018388079896682;0.2884838915200752;swish;adam;64;0.4291999936103821
256;512;1024;0.21080345894358254;0.4520086759579889;0.4454069058789204;swish;rmsprop;256;0.4302000105381012
1024;1024;512;0.3623552778311364;0.12117465276172931;0.0005455741758005062;swish;adam;128;0.4936999976634979
1024;1024;256;0.49276287024565263;0.17480785800449467;0.3335014602755372;relu;sgd;128;0.46889999508857727
256;1024;1024;0.3643395018413008;0.21033903106896717;0.4954456226384324;leakyrelu;adam;128;0.3619000017642975
1024;1024;512;0.47290923076523955;0.12275060652838875;0.02354233148440596;swish;rmsprop;128;0.45010000467300415
1024;1024;256;0.4129652985295237;0.23254231123735736;0.06243445514564933;swish;adam;128;0.46549999713897705
256;1024;512;0.05768552377057195;0.2621669514494219;0.22452093058987718;leakyrelu;adam;128;0.454800009727478
1024;1024;1024;0.35311083022161044;0.15710493310315612;0.14097286337276355;swish;rmsprop;128;0.45210000872612
1024;1024;512;0.41814069103308343;0.11651680176681506;0.26812000517050877;leakyrelu;adam;128;0.4088999927043915
256;1024;256;0.11806815502025506;0.04694766174798204;0.020674599393748414;swish;sgd;128;0.39070001244544983
1024;512;512;0.16633866216316442;0.08655924391937006;0.18762317071712725;relu;adam;256;0.40639999508857727
1024;1024;1024;0.4620861677871163;0.35995494249340576;0.054514395203964734;swish;adam;128;0.4528000056743622
